Client,Company_Code,Supplier,Supplier_Name,PAN,Country,WTax_Type,WTx,TAN_Exemption,Recipient_Type,Exemption_Number,Exemption_Percentage,Exemption_From,Exemption_To,Exemption_Reason,Exemption_Threshold,Currency
500,1081,DII00229AA,INTELIZIGN LIFECYCLE SERV,AAGCI2284M,IN,JI,J1,,0001,1AB0526EMB,65,2026-05-11,2027-03-31,AL,4274160,INR
500,1081,DII00229AA,INTELIZIGN LIFECYCLE SERV,AAGCI2284M,IN,JP,J1,,0001,1AB0526EMB,65,2026-05-11,2027-03-31,AL,4274160,INR
500,1081,DIS00681AA,SHARPSELL TECHNOLOGY,AAFCH5205E,IN,JI,J1,,0001,1NC0626BQR,90,2026-06-30,2027-03-31,AL,14030000,INR
500,1081,DIM01158AM,MLL EXPRESS SERVICES PRIVATE,AACCV3947L,IN,CI,C1,,0001,1AD0526PNS,87.5,2026-05-25,2027-03-31,AL,150000000,INR
500,1081,DIT00161AB,TCI SUPPLY CHAIN SOLUTION (A,AAACT7966R,IN,CI,C1,,0001,1AA0426SZQ,65,2026-04-02,2027-03-31,AL,69190000,
500,1081,DIM01158AA,MLL EXPRESS SERVICES PRIVATE,AACCV3947L,IN,CI,C1,,0001,1AD0526PNS,87.5,2026-05-25,2027-03-31,AL,150000000,INR
500,1001,DID00371AA,Dassault Systemes India Pvt Ltd,AACCD7672A,IN,JP,J1,,0001,1NC0726NSM,87,2026-07-17,2027-03-31,AL,914462070,INR
500,1001,DID00371AA,Dassault Systemes India Pvt Ltd,AACCD7672A,IN,JI,J1,,0001,1NC0726NSM,87,2026-07-17,2027-03-31,AL,914462070,INR
500,1081,DID00371AA,Dassault Systemes India Pvt Ltd,AACCD7672A,IN,JI,J1,,0001,1NC0726NTN,87,2026-07-17,2027-03-31,AL,96739212,INR
500,1081,DIM00398AN,MAHINDRA LOGISTICS LIMITED,AAFCM2530H,IN,CI,C1,,0001,1AD0426EMP,60,2026-04-16,2027-03-31,AL,3423983036,INR
500,1001,DIS00556AB,SIFY TECHNOLOGIES LTD,AAACS9032R,IN,JI,J1,,0001,1AA0526DTJ,85,2026-04-30,2027-03-31,AL,5400579,INR
500,1081,DIM01158AQ,MLL EXPRESS SERVICES PRIVATE,AACCV3947L,IN,CI,C1,,0001,1AD0526PNS,87.5,2026-05-25,2027-03-31,AL,150000000,INR
500,1081,DIN00170AA,NEEDS MANPOWER SUPPORT,AACCN4867B,IN,CI,C1,,0001,1NA0626QFJ,67.5,2026-06-10,2027-03-31,AL,28754079,INR
500,1081,DIM01158AH,MLL EXPRESS SERVICES PRIVATE,AACCV3947L,IN,CI,C1,,0001,1AD0526PNS,87.5,2026-05-25,2027-03-31,AL,150000000,INR
500,1079,DIL00192AB,LORDS FREIGHT INDIA PRIVATE,AACCL0108M,IN,CI,C1,,0001,1NA0626AVI,25,2026-06-01,2027-03-31,AL,29456153,INR
500,1081,DIL00192AB,LORDS FREIGHT INDIA PRIVATE,AACCL0108M,IN,CI,C1,,0001,1NA0626AVJ,25,2026-06-01,2027-03-31,AL,260298,INR
500,1079,DIM00474AA,MIRUM DIGITAL PRIVATE LIM,AANCS0273K,IN,JI,J1,,0001,1AC0526TKB,58,2026-05-15,2027-03-31,AL,12000000,INR
500,1081,DIN00463AA,NETCORE PRIVATE LIMITED,AAACR2730D,IN,CI,C1,,0001,4NA0726AGE4A194,12.5,2026-07-15,2027-03-31,AL,100000,INR
500,1001,DMM0419,MAX PUBLICITY & COMMUNICATION,AAHCM3403H,IN,CI,C1,,0001,1AB0521OAW,75,2021-05-07,2022-03-31,AL,20000000,INR
500,1001,DMM0419,MAX PUBLICITY & COMMUNICATION,AAHCM3403H,IN,CP,C1,,0001,1AB0521OAW,75,2021-05-07,2022-03-31,AL,20000000,INR
500,1081,DIX00023AA,XTELIFY LIMITED,AABCW6047M,IN,JI,J1,,0001,1AD0526NGJ,77.5,2026-05-21,2027-03-31,AL,56525104,INR
500,1081,DIM01158AN,MLL EXPRESS SERVICES PRIVATE,AACCV3947L,IN,CI,C1,,0001,1AD0526PNS,87.5,2026-05-25,2027-03-31,AL,150000000,INR
500,1001,DID00362AJ,DUSTERS TOTAL SOLUTIONS,AACCD5989Q,IN,CI,C1,,0001,4AB0326QIP4A066,99.5,2026-04-01,2027-03-31,AL,66544756,INR
500,1079,DIE00207AB,Ernst & Young LLP,AAEFE1763C,IN,JI,J3,,0001,4NA0626AIE4C526,40,2026-06-25,2027-03-31,AL,50000000,INR
500,1081,DIE00207AB,Ernst & Young LLP,AAEFE1763C,IN,JI,J3,,0001,4NA0626AIE4D263,40,2026-06-25,2027-03-31,AL,6000000,INR
500,1081,DIM01158AT,MLL EXPRESS SERVICES PRIVATE,AACCV3947L,IN,CI,C1,,0001,1AD0526PNS,87.5,2026-05-25,2027-03-31,AL,150000000,INR
500,1001,DIM01054AA,Mahindra First Choice Wheels Limite,AACCM0794N,IN,II,I1,,0001,4AG0426FWT4A005,90,2026-04-29,2027-03-31,AL,192000000,INR
500,1079,DIM01054AA,Mahindra First Choice Wheels Limite,AACCM0794N,IN,JI,J5,,0001,4AG0426FWU4A062,50,2026-04-29,2027-03-31,AL,40000000,INR
500,1079,DIE00207AA,Ernst & Young LLP,AAEFE1763C,IN,JI,J3,,0001,4NA0626AIE4C526,40,2026-06-25,2027-03-31,AL,50000000,INR
500,1079,DIF00108AE,LOGISTEED INDIA PRIVATE LIMITED,AABCF2133M,IN,CI,C1,,0001,1NF0726FMH,50,2026-07-30,2027-03-31,AL,4027553,INR
500,1081,DIF00108AE,LOGISTEED INDIA PRIVATE LIMITED,AABCF2133M,IN,CI,C1,,0001,1NF0726FMJ,50,2026-07-30,2027-03-31,AL,21867716,INR
500,1081,DIS00698AA,SAFE & SECURE LOGISTICS,AAGCS5100E,IN,CI,C1,,0001,1AC0625VUO,75,2025-06-13,2026-03-31,AL,25000000,INR
500,1001,DIS00698AA,SAFE & SECURE LOGISTICS,AAGCS5100E,IN,CI,C1,,0001,4NA0626ADO4A003,62.5,2026-06-08,2027-03-31,AL,150000000,INR
500,1079,DIA00934AA,ACTEVIA TECHNOLOGY SERVICES,AAUCA3130C,IN,JI,J1,,0001,1AB0326EUU,50,2026-04-01,2027-03-31,AL,10000000,INR
500,1081,DIF00108AD,FLYJAC LOGISTICS PVT LTD,AABCF2133M,IN,CI,C1,,0001,1NF0726FMJ,50,2026-07-30,2027-03-31,AL,21867716,INR
500,1079,DIL00192AC,LORDS FREIGHT PRIVATE,AACCL0108M,IN,CI,C1,,0001,1NA0626AVI,25,2026-06-01,2027-03-31,AL,29456153,INR
500,1001,DIT00570AA,THINKINNOV SOLUTION,AAFCT3855N,IN,JI,J1,,0001,1NA0926SVB,50,2026-09-10,2027-03-31,AL,25099759,INR
500,1081,DIM01158AV,MLL EXPRESS SERVICES PRIVATE,AACCV3947L,IN,CI,C1,,0001,1AD0526PNS,87.5,2026-05-25,2027-03-31,AL,150000000,INR
500,1001,DIM00374AA,MEHRAB MOTORS PVT. LTD.,AAECM2799M,IN,CI,C1,,0001,1NA0526JMH,62.5,2026-05-14,2027-03-31,AL,12000000,INR
500,1079,DIH00128AA,HARITA TECHSERV PRIVATE,AAACH2489K,IN,JI,J1,,0001,1AD0526GQE,85,2026-05-20,2027-03-31,AL,20800000,INR
500,1081,DIX00023AB,Xtelify Limited,AABCW6047M,IN,JI,J1,,0001,1AD0526NGJ,77.5,2026-05-21,2027-03-31,AL,56525104,INR
500,1001,DIX00023AB,Xtelify Limited,AABCW6047M,IN,CI,C1,,0001,1AD0526NGT,75,2026-05-21,2027-03-31,AL,127053547,INR
500,1081,DIT00384AA,TUV INDIA PVT LTD.,AAACT2209D,IN,JP,J1,,0001,4NA0626AAB4D060,50,2026-06-01,2027-03-31,AL,1840000,INR
500,1081,DIT00384AA,TUV INDIA PVT LTD.,AAACT2209D,IN,JI,J1,,0001,4NA0626AAB4D060,50,2026-06-01,2027-03-31,AL,1840000,INR
500,1079,DIT00384AA,TUV INDIA PVT LTD.,AAACT2209D,IN,JI,J1,,0001,4NA0626AAB4G873,50,2026-06-01,2027-03-31,AL,400000,INR
500,1081,DIM01158AY,MLL EXPRESS SERVICES PRIVATE,AACCV3947L,IN,CI,C1,,0001,1AD0526PNS,87.5,2026-05-25,2027-03-31,AL,150000000,INR
500,1001,DIL00067AA,LEPTON SOFTWARE EXPORT &,AAACL6778R,IN,JI,J1,,0001,1AA0725JNI,55,2025-07-02,2026-03-31,AL,34454861,INR
500,1001,DIT00472AC,THE AUTOMOTIVE RESEARCH,AAATT1989P,IN,JI,J3,,0001,1AD0526CUH,100,2026-05-19,2027-03-31,AL,350000000,INR
500,1001,DIT00472AC,THE AUTOMOTIVE RESEARCH,AAATT1989P,IN,JP,J3,,0001,1AD0526CUH,100,2026-05-19,2027-03-31,AL,350000000,INR
500,1001,DIS00556AE,SIFY TECHNOLOGIES LIMITED,AAACS9032R,IN,JI,J1,,0001,1AA0526DTJ,85,2026-04-30,2027-03-31,AL,5400579,INR
500,1081,DIQ00013AA,QUALITYKIOSK TECHNOLOGIES,AAACQ0609C,IN,JI,J1,,0001,1AD0426MDK,59.5,2026-04-17,2027-03-31,AL,3500000,INR
500,1001,DIM00497AA,MCKINSEY & COMPANY INDIA LLP,AAXFM1434F,IN,JP,J1,,0001,1NC0726MCH,62.7,2026-07-17,2027-03-31,AL,1708633372,INR
500,1001,DIM00497AA,MCKINSEY & COMPANY INDIA LLP,AAXFM1434F,IN,JI,J1,,0001,1NC0726MCH,62.7,2026-07-17,2027-03-31,AL,1708633372,INR
500,1081,DIM00398AH,MAHINDRA LOGISTICS LTD,AAFCM2530H,IN,CI,C1,,0001,1AD0426EMP,60,2026-04-16,2027-03-31,AL,3423983036,INR
500,1001,DIU00228AA,UPGRAD EDUCATION PRIVATE,AAECD4879M,IN,JI,J1,,0001,4AA0526NTJ4A008,80,2026-05-06,2027-03-31,AL,110000000,INR
500,1079,DIN00380AA,NETWORK18 MEDIA & INVESTMENTS,AABCS2472G,IN,CP,C1,,0001,4AB0426YFU4A241,92.5,2026-04-09,2027-03-31,AL,10000000,INR
500,1079,DIN00380AA,NETWORK18 MEDIA & INVESTMENTS,AABCS2472G,IN,CI,C1,,0001,4AB0426YFU4A241,92.5,2026-04-09,2027-03-31,AL,10000000,INR
500,1001,DIN00380AA,NETWORK18 MEDIA & INVESTMENTS,AABCS2472G,IN,CI,C1,,0001,4AB0426YFU4A294,92.5,2026-04-09,2027-03-31,AL,7500000,INR
500,1081,DIL00192AF,LORDS FREIGHT (INDIA) PRIVATE,AACCL0108M,IN,CI,C1,,0001,1NA0626AVJ,25,2026-06-01,2027-03-31,AL,260298,INR
500,1079,DIL00146AA,LIVING MEDIA INDIA LIMITED,AAACL0087H,IN,CI,C1,,0001,1AD0326FEZ,50,2026-04-01,2027-03-31,AL,1200000,INR
500,1079,DIL00192AA,LORDS FREIGHT (INDIA) PRIVATE,AACCL0108M,IN,CI,C1,,0001,1NA0626AVI,25,2026-06-01,2027-03-31,AL,29456153,INR
500,1081,DIL00192AA,LORDS FREIGHT (INDIA) PRIVATE,AACCL0108M,IN,CI,C1,,0001,1NA0626AVJ,25,2026-06-01,2027-03-31,AL,260298,INR
500,1001,DIA01162AA,AWIGN ENTERPRISES PRIVATE,AAOCA5799B,IN,JI,J1,,0001,1AD0625WZC,99,2025-06-20,2026-03-31,AL,6000000,INR
500,1001,DIP00727AB,PLUXEE INDIA PRIVATE LIMI,AALCS9822Q,IN,CP,C1,,0001,1AC0426YUV,87.5,2026-04-15,2027-03-31,AL,20895111,INR
500,1001,DIP00727AB,PLUXEE INDIA PRIVATE LIMI,AALCS9822Q,IN,CI,C1,,0001,1AC0426YUV,87.5,2026-04-15,2027-03-31,AL,20895111,INR
500,1001,DIT00559AA,TEAMLEASE FOUNDATION,AADCT8958N,IN,CI,C1,,0001,1AB0326PSB,100,2026-04-01,2027-03-31,AL,6819000,INR
500,1081,DIT00559AA,TEAMLEASE FOUNDATION,AADCT8958N,IN,CI,C1,,0001,1AB0326PSD,100,2026-04-01,2027-03-31,AL,156000,INR
500,1001,DIH00144AA,HANSA RESEARCH GROUP PVT,AAACH9516M,IN,JP,J1,,0001,1AD0526NXJ,60,2026-05-22,2027-03-31,AL,7000000,INR
